"Lemma","LemmaSort","POS","PrincipalParts","ShortDefinition"
"δικαιοκρισία","δικαιοκρισια","noun","δικαιοκρισίας","righteous judgement"
"δίκαιος","δικαιοσ","adj","δικαία, δίκαιον","observant of custom; observant of duty; equal, even, well-balanced, ἅρμα δίκαιον; legally exact, precise, τῷ δικαιοτάτῳ τῶν λόγων; lawful, just; meet and right, fitting; normal; real, genuine; of equity; are bound"
"δίκαιος","δικαιοσ","adv",NA,"observant of custom; observant of duty; equal, even, well-balanced, ἅρμα δίκαιον; legally exact, precise, τῷ δικαιοτάτῳ τῶν λόγων; lawful, just; meet and right, fitting; normal; real, genuine; of equity; are bound"
"δικαιοσύνη","δικαιοσυνη","noun","δικαιοσύνης","righteousness, justice; fulfilment of the Law; justice, the business of a judge; four"
"δικαιόω","δικαιοω","verb","δικαιώσω, δικαιωθήσομαι, ―, δεδικαίωμαι, δικαιωθήσομαι","set right; hold; do a man right; chastise, punish; have right done one; pronounce and treat as righteous, justify, vindicate"
"δικαίωμα","δικαιωμα","noun","δικαιώματος","act of right; judgement, penalty; justification, plea of right; pleadings, documents; act of; ordinance, decree"
"δικαίωσις","δικαιωσισ","noun","δικαιώσεως","setting right, doing justice to; condemnation, punishment; plea of legal right, justification; making; demand of right; judgement of what is right, ἀντήλλαξαν τῇ δικαιώσει"
"δικαστής","δικαστησ","noun","δικαστοῦ","a judge; juror; avenger"
"δίκη","δικη","noun","δίκης","custom, usage, αὕτη δ. ἐστὶ βροτῶν; in the way of, after the manner of; order, right, μή τι δίκηςἐπιδευές; duly, rightly; judgement, δίκην ἰθύντατα εἰπεῖν; proceedings instituted to determine legal rights; lawsuit; trial; cause; the object; three"
"δίκτυον","δικτυον","noun","δικτύου","net; fishing-net, δικτύῳ ἐξέρυσαν πολυωπῷ; hunting-net; lattice-work; bottom of a sieve"
"δίλογος","διλογοσ","adj","―, ―","double-tongued, doubtful"
"διό","διο","conj",NA,"wherefore, on which account"
"διοδεύω","διοδευω","verb","―, ―, ―, ―, ―","travel through"
"Διονύσιος","διονυσιοσ","noun","―","of Dionysus"
"διόπερ","διοπερ","conj",NA,"wherefore, on which account"
"διοπετής","διοπετησ","adj","―, διοπετές","that fell from Zeus"
"διόρθωμα","διορθωμα","noun","διορθώματος","making straight, setting right; amendment"
"διόρθωσις","διορθωσισ","noun","διορθώσεως","making straight; correction, chastisement; amendment, correction; right treatment; recension, revised edition of; payment"
"διορύσσω","διορυσσω","verb","―, διορυχθήσομαι, ―, ―, διορυχθήσομαι","dig through, διὰ τάφρον ὀρύξας; undermine, ruin; worm out; to be shut up in a funeral vault"
"Διόσκουροι","διοσκουροι","noun","Διοσκούρων","Castor and Pollux"
"διότι","διοτι","conj",NA,"because, for the reason that, since; wherefore, for what reason, φράσω διότι; that"
"Διοτρέφης","διοτρεφησ","noun","―","Diotrephes"
"διπλοῦς","διπλουσ","adj","διπλοῦς, διπλοῦν","twofold, double; mutual; compound; twice as much, large; double, doubtful; double-minded, treacherous"
"διπλόω","διπλοω","verb","―, ―, ―, ―, ―","repeat; repay twofold"
"δίς","δισ","adv",NA,"twice, doubly"
"δισμυριάς","δισμυριασ","noun","δισμυριάδος","twenty thousand"
"διστάζω","δισταζω","verb","―, ―, ―, ―, ―","doubt, hesitate"
"δίστομος","διστομοσ","adj","δίστομος, ―","double-mouthed, with two entrances; two-edged"
"δισχίλιοι","δισχιλιοι","adj","―, ―","two thousand"
"διϋλίζω","διυλιζω","verb","―, ―, ―, ―, ―","strain, filter thoroughly, οἶνον; strain off"
"διχάζω","διχαζω","verb","―, ―, ―, ―, ―","divide in two; divide by two; divide; to be divided"
"διχοστασία","διχοστασια","noun","διχοστασίας","dissension"
"διχοτομέω","διχοτομεω","verb","διχοτομήσω, ―, ―, ―, ―","cut in twain: bisect; punish with the last severity; divide into two"
"διψάω","διψαω","verb","διψήσω, ―, ―, ―, ―","thirst, στεῦτο δὲ διψάων [α_; thirst after"
"δίψος","διψοσ","noun","δίψους","thirst; thirst for"
"δίψυχος","διψυχοσ","adj","―, ―","double-minded"
"διωγμός","διωγμοσ","noun","διωγμοῦ","the chase; pursuit; persecution, harassing"
"διώκτης","διωκτησ","noun","διώκτου","pursuer"
"διώκω","διωκω","verb","διώξω, διωχθήσομαι, ―, δεδίωγμαι, διωχθήσομαι","cause to run, set in quick motion; pursue, chase; follow; pursue; drive; drive, drive on; urge, impel; urge on, carry forward; hurried, rapid; prosecute, ὁ διώκων; persecute"
"δόγμα","δογμα","noun","δόγματος","that which seems to one, opinion; decision, judgement"
"δογματίζω","δογματιζω","verb","―, ―, ―, ―, ―","lay down as an opinion; decree by ordinance; submit to ordinances"
"δοκέω","δοκεω","verb","―, ―, ―, ―, ―","expect; thought; think; have; seem to myself, methinks; am determined, resolved; seem, pretend; to be considered; seem; seem good, be resolved on, εἰ δοκεῖ σοι ταῦτα; it seems; it seems good; to be reputed"
"δοκιμάζω","δοκιμαζω","verb","δοκιμάσω, ―, ―, δεδοκίμασμαι, ―","assay, test; put; approve, sanction; approve after scrutiny as fit; pass as fit to serve; examine and admit; test; think fit"
"δοκιμασία","δοκιμασια","noun","δοκιμασίας","examination, scrutiny; passing muster; process to determine the right; examination; test, δ. ἱκανήν [τινοσ] λαβεῖν"
"δοκιμή","δοκιμη","noun","δοκιμῆς","proof, test; tried"
"δοκίμιον","δοκιμιον","noun","―","test, means of testing"
"δόκιμος","δοκιμοσ","adj","―, ―","acceptable; trustworthy; excellent; really, genuinely"
"δοκός","δοκοσ","noun","δοκοῦ","bearing-beam, main beam; meteor"
"δόλιος","δολιοσ","adj","―, ―","crafty, deceitful, treacherous"
"δολιόω","δολιοω","verb","―, ―, ―, ―, ―","deal treacherously with"
"δόλος","δολοσ","noun","δόλου","bait; any trick; craft, cunning, treachery; spy"
"δολόω","δολοω","verb","―, ―, ―, ―, ―","beguile, ensnare, take by craft; disguise, μορφήν"
"δόμα","δομα","noun","δόματος","gift; payment"
"δόξα","δοξα","noun","δόξης","expectation, οὐδ' ἀπὸ δόξης; notion, opinion, judgement; mere opinion, conjecture, δόξῃ ἐπίστασθαι, ἡγεῖσθαι; fancy, vision; the opinion which others have of one, estimation, repute; good repute, honour, glory; ill repute; popular repute; glory, splendour"
"δοξάζω","δοξαζω","verb","δοξάσω, δοξασθήσομαι, ―, δεδόξασμαι, δοξασθήσομαι","think, imagine; will suppose that; entertain; form; to be matter of opinion; magnify, extol"
"Δορκάς","δορκασ","noun","―","Dorcas"
"δόσις","δοσισ","noun","δόσεως","giving; licence, permission; ramming; gift; bequest, legacy: κατὰ δόσιν; largess; contribution; payment on account, instalment; portion; dose of medicine; stress; destiny, fate"
"δότης","δοτησ","noun","δότου","giver, dispenser"
"δουλαγωγέω","δουλαγωγεω","verb","―, ―, ―, ―, ―","make a slave, treat as such; bring"
"δουλεία","δουλεια","noun","δουλείας","slavery, bondage; slaves; service for hire"
"δουλεύω","δουλευω","verb","δουλεύσω, ―, δεδούλευκα, ―, ―","to be a slave; serve, be subject; render a service"
"δούλη","δουλη","noun","δούλης","female slave"
"δοῦλος","δουλοσ","adj","―, δοῦλον","born bondman; slavish, servile, subject; slavery, a slavish life; ancillary"
"δοῦλος","δουλοσ","noun","δούλου","born bondman; slavish, servile, subject; slavery, a slavish life; ancillary"
"δουλόω","δουλοω","verb","δουλώσω, δουλωθήσομαι, ―, δεδούλωμαι, δουλωθήσομαι","enslave"
"δοχή","δοχη","noun","δοχῆς","receptacle; reception, entertainment"
"δράκων","δρακων","noun","δράκοντος","dragon, serpent; Draco; the great weever; a wand with a serpent coiled round; serpent-shaped bracelet; noose; dragon-standard"
"δράσσομαι","δρασσομαι","verb","―, ―, ―, ―, ―","grasp; lay hold of; take by handfuls"
"δραχμή","δραχμη","noun","δραχμῆς","as much as one can hold in the hand; drachm; drachma"
"δρέπανον","δρεπανον","noun","δρεπάνου","pruning-knife; scythe; curved sword, scimitar"
"δρόμος","δρομοσ","noun","δρόμου","course, race; foot-race; lap; rapid delivery; place for running, δρόμοι εὐρέες; racecourse; public walk; orchestra; course; cursus publicus"
"Δρούσιλλα","δρουσιλλα","noun","Δρουσίλλης","Drusilla"
"δύναμαι","δυναμαι","verb","δυνήσομαι, δυνηθήσομαι, ―, ―, δυνηθήσομαι","to be able, strong enough; to be able, dare, bear; enjoy a legal right; could; to be equivalent to; to be worth; to be equal; signify, mean; avail to produce; mean, 'spell'; to be equivalent when squared to; come to; it cannot be, is not to be"
"δύναμις","δυναμισ","noun","δυνάμεως","power, might; outward power, influence, authority; force for war, forces; a power, quantity; means; power, faculty, capacity; elementary force; property, quality; agencies; function, meaning; function, value; faculty, art; a medicine; action; magically potent substance; force; value; worth; capability of existing; power; square number; square; square root; product; powers; manifestation of divine power, miracle"
"δυναμόω","δυναμοω","verb","―, δυναμωθήσομαι, ―, ―, δυναμωθήσομαι","strengthen; put power into"
"δυνάστης","δυναστησ","noun","δυνάστου","lord, master, ruler"
"δυνατέω","δυνατεω","verb","―, ―, ―, ―, ―","to be mighty"
"δυνατός","δυνατοσ","adj","―, δυνατόν","strong, mighty; able; powerful, influential; able to produce, productive; potential; possible; strongly, powerfully"
"δύνω","δυνω","verb","―, ―, ―, ―, ―","cause to sink, sink, plunge in; get; enter, make one's way into; slinks; entered his body; sink into; get into; put on; enter, come over"
"δύο","δυο","adj","δύο, ―","Acut.(Sp"
"δύο","δυο","num",NA,"Acut.(Sp"
"δυσβάστακτος","δυσβαστακτοσ","adj","―, δυσβάστακτον","intolerable, grievous to be borne"
"δυσεντέριον","δυσεντεριον","noun","δυσεντερίου","dysentery"
"δυσερμήνευτος","δυσερμηνευτοσ","adj","―, ―","hard to interpret"
"δύσις","δυσισ","noun","δύσεως","setting of the sun; quarter in which the sun sets, west; hiding-place"
"δύσκολος","δυσκολοσ","adj","―, δύσκολόν","hard to satisfy with food; troublesome, harassing; difficult to explain"
"δύσκολος","δυσκολοσ","adv",NA,"hard to satisfy with food; troublesome, harassing; difficult to explain"
"δυσμή","δυσμη","noun","δυσμῆς","setting; the quarter of sunset, west"
"δυσνόητος","δυσνοητοσ","adj","―, δυσνόητον","hard to be understood; slow of understanding"
"δυσφημέω","δυσφημεω","verb","―, ―, ―, ―, ―","use ill words; speak ill of"
"δυσφημία","δυσφημια","noun","δυσφημίας","ill language; blasphemy, slander; ill fame, obloquy"
"δώδεκα","δωδεκα","num",NA,"twelve"
"δωδέκατος","δωδεκατοσ","adj","―, ―","twelfth"
"δωδεκάφυλον","δωδεκαφυλον","noun","―","of twelve tribes"
"δῶμα","δωμα","noun","δώματος","house; housetop; household, family"
"δωρεά","δωρεα","adv",NA,"gift, present; estate granted; as a free gift, freely; to no purpose, for naught"
"δωρεά","δωρεα","noun","δωρεᾶς","gift, present; estate granted; as a free gift, freely; to no purpose, for naught"
"δωρέω","δωρεω","verb","―, ―, ―, δεδώρημαι, ―","give, present; present; offer"
"δώρημα","δωρημα","noun","―","gift, present"
"δῶρον","δωρον","noun","δώρου","gift, present, gift of honour; presents; good qualities, talents; front part of palm; hand's breadth, palm"
"ἔα","εα","ptcl",NA,"ha! oho"
"ἐάν","εαν","conj",NA,"if haply, if; soever"
"ἐάνπερ","εανπερ","conj",NA,"if; come now; if ever, whenever; if ever; un; wonder, delight, indignation, disappointment, contentment; as surely as, since; in case, supposing that; except; now if; im; whether"
"ἑαυτοῦ","εαυτου","reflexive pronoun","ἑαυτῆς, ἑαυτοῦ","Stadtrecht von Gortyn; ourselves; one another"
"ἐάω","εαω","verb","ἐάσω, ―, ―, ―, ―","suffer, permit; concede, allow; to suffer; let alone, let be"
"ἑβδομήκοντα","εβδομηκοντα","num",NA,"seventy"
"ἑβδομηκοντάκις","εβδομηκοντακισ","adv",NA,"seventy times"
"ἕβδομος","εβδομοσ","adj","ἑβδόμη, ―","seventh; seven years' work"
"Ἔβερ","εβερ","noun","Ἔβερ","Eber"
"Ἑβραῖος","εβραιοσ","noun","Ἑβραίου","a Hebrew"
"Ἑβραΐς","εβραισ","adj","Ἑβραΐς, ―","Hebrew"
"Ἑβραϊστί","εβραιστι","adv",NA,"in Hebrew"
"ἐγγίζω","εγγιζω","verb","ἐγγιῶ, ―, ἤγγικα, ―, ―","bring near, bring up to; approach; to be next of kin; to be on the point of"
"ἐγγράφω","εγγραφω","verb","―, ―, ―, ἐγγέγραμμαι, ―","make incisions into; mark in or on, paint on; engrave, inscribe; inscribe; include in a prescription; enter in the public register; indict; enter their names"
"ἔγγυος","εγγυοσ","adj","―, ―","secured, under good security; reliable; giving security"
"ἐγγύς","εγγυσ","adv",NA,"near, nigh, at hand; nigh at hand; nearly; coming near; akin to"
"ἐγγύς","εγγυσ","prep",NA,"near, nigh, at hand; nigh at hand; nearly; coming near; akin to"
"ἐγγύτερος","εγγυτεροσ","adv",NA,"nearer"
"ἐγείρω","εγειρω","verb","ἐγερῶ, ἐγερθήσομαι, ―, ἐγήγερμαι, ἐγερθήσομαι","awaken, rouse; rouse, stir up; raise; raise, erect; wake; rouse; arouse oneself"
"ἔγερσις","εγερσισ","noun","ἐγέρσεως","awaking; raising, erection"
"ἐγκάθετος","εγκαθετοσ","adj","―, ―","put in secretly, suborned"
"ἐγκαίνια","εγκαινια","noun","ἐγκαινίας","feast of renovation"
"ἐγκαινίζω","εγκαινιζω","verb","―, ―, ―, ἐγκεκαίνισμαι, ―","restore; innovate"
"ἐγκακέω","εγκακεω","verb","―, ―, ―, ―, ―","behave remissly in"
"ἐγκαλέω","εγκαλεω","verb","ἐγκαλέσω, ―, ―, ―, ―","call in; invoke; bring a charge; prosecute, take proceedings against; object"
"ἐγκαταλείπω","εγκαταλειπω","verb","ἐγκαταλείψω, ἐγκαταλειφθήσομαι, ―, ―, ἐγκαταλειφθήσομαι","leave behind; leave in the lurch; leave out, omit; leave traces behind; to be left behind; leave residual symptoms"
"ἐγκατοικέω","εγκατοικεω","verb","―, ―, ―, ―, ―","dwell in"
"ἐγκαυχάομαι","εγκαυχαομαι","verb","―, ―, ―, ―, ―","pride oneself on"
"ἐγκεντρίζω","εγκεντριζω","verb","―, ἐγκεντρισθήσομαι, ―, ―, ἐγκεντρισθήσομαι","goad, spur on; graft; concentrate"
"ἔγκλημα","εγκλημα","noun","ἐγκλήματος","accusation, charge; written complaint; a standing reproach; defect"
"ἐγκομβόομαι","εγκομβοομαι","verb","―, ―, ―, ―, ―","bind"
"ἐγκοπή","εγκοπη","noun","ἐγκοπῆς","incision; steps; hindrance"
"ἐγκόπτω","εγκοπτω","verb","―, ―, ―, ―, ―","knock in; engrave; incise; oppose; check, hold; come to a stop"
"ἐγκράτεια","εγκρατεια","noun","ἐγκρατείας","mastery over; self-control"
"ἐγκρατεύομαι","εγκρατευομαι","verb","―, ―, ―, ―, ―","exercise self-control; to be a member of the Encratite sect, Anatolian Studies"
"ἐγκρατής","εγκρατησ","adj","―, ―","in possession of power; holding fast; stout, strong; having possession of; master of oneself, self-controlled; with a strong hand, by force; with self-control, temperately"
"ἐγκρίνω","εγκρινω","verb","―, ―, ―, ―, ―","reckon in; select, admit; admit, accept; approue"
"ἐγκρύπτω","εγκρυπτω","verb","―, ―, ―, ―, ―","hide; bank; hide oneself"
"ἔγκυος","εγκυοσ","adj","ἔγκυος, ―","Epigr Gr"
"ἐγχρίω","εγχριω","verb","―, ―, ―, ―, ―","anoint; sting, prick; stick in"
"ἐγώ","εγω","personal pronoun","μου/ἐμοῦ","I at least, for my part, indeed, for myself; me; we two; ahám"
"ἐγώ","εγω","personal pronoun with kai","μου/ἐμοῦ","I at least, for my part, indeed, for myself; me; we two; ahám"
"ἐδαφίζω","εδαφιζω","verb","ἐδαφιῶ, ―, ―, ―, ―","beat level and firm like a floor; provide with a floor; dash to the ground"
"ἔδαφος","εδαφοσ","noun","ἐδάφους","bottom, foundation, base; ground-floor, pavement; ground, soil; text; manuscript; background"
"ἑδραῖος","εδραιοσ","adj","―, ―","sitting, sedentary; on which the rider sits; steady, steadfast; permanently appointed"
"ἑδραίωμα","εδραιωμα","noun","―","stay, support"
"Ἑζεκίας","εζεκιασ","noun","Ἑζεκίου","Hezekiah"
"ἐθελοθρησκία","εθελοθρησκια","noun","ἐθελοθρησκίας","will-worship, self-chosen service"
"ἐθίζω","εθιζω","verb","―, ―, ―, εἴθισμαι, ―","accustom; become accustomed"
"ἐθνάρχης","εθναρχησ","noun","―","ruler of a tribe; ruling over nations"
"ἐθνικός","εθνικοσ","adj","―, ―","national; foreign, gentile; provincial, Cod. Just; indicating nationality; dialectal; tax-collector"
"ἐθνικός","εθνικοσ","adv",NA,"national; foreign, gentile; provincial, Cod. Just; indicating nationality; dialectal; tax-collector"
"ἔθνος","εθνοσ","noun","ἔθνους","number of people living together, company, body of men; nation, people; foreign, barbarous nations; provinciae; class; sex; part, member; a relation"
"ἔθος","εθοσ","noun","ἔθους","custom, habit"
"ἔθω","εθω","verb","―, ―, εἴωθα, ―, ―","to be accustomed, to be wont"
"εἰ","ει","conj",NA,"if; come now; if ever, whenever; if ever; un; wonder, delight, indignation, disappointment, contentment; as surely as, since; in case, supposing that; except; now if; im; whether"
"εἰδέα","ειδεα","noun","―","form; semblance; kind, sort; style; a quality of style; class, kind; ideal forms, archetypes; notion, idea"
"εἶδος","ειδοσ","noun","εἴδους","that which is seen: form, shape; beauty of person, comeliness; physique, habit of body, constitution; shape; figures; form, kind; class, kind; form; wares"
"εἰδωλεῖον","ειδωλειον","noun","εἰδωλείου","idol's temple"
"εἰδωλόθυτος","ειδωλοθυτοσ","adj","―, εἰδωλόθυτον","sacrificed to idols"
"εἰδωλολάτρης","ειδωλολατρησ","noun","εἰδωλολάτρου","idol-worshipper, idolater"
"εἰδωλολατρία","ειδωλολατρια","noun","εἰδωλολατρίας","idolatry"
"εἴδωλον","ειδωλον","noun","εἰδώλου","phantom; any unsubstantial form; image reflected; film; image in the mind, idea; image, likeness; image of a god, idol; constellations"
"εἰκῇ","εικη","adv",NA,"without plan; in vain; slightly, moderately"
"εἴκοσι","εικοσι","num",NA,"twenty"
"εἴκω","εικω","verb","―, ―, ―, ―, ―","to be like, seem likely; give way, retire; shrink; give way; give way to; yield to; retire from; yield up, give up; grant, allow; it is allowable"
"εἰκών","εικων","noun","εἰκόνος","likeness, image; image in a mirror; personal description; living image, representation; semblance, phantom; similitude, comparison; pattern, archetype"
"εἰλικρίνεια","ειλικρινεια","noun","εἰλικρινείας","unmixedness, purity; sincerity, uprightness"
"εἰλικρινής","ειλικρινησ","adj","εἰλικρινής, ―","unmixed, without alloy, pure; pure, simple, absolute; sincere; total; without mixture, of itself, simply, absolutely"
"εἰμί","ειμι","verb","ἔσομαι, ―, ―, ―, ―","sum; exist; real; to happen; be the fact; no one; there was; it is possible; let it be granted; to be; were; consists of; you are one of; to be of the party of; 'tis; to be occupied about; have; 'twould be; to be sprung; it depends; pass; is; to be constructed; quantum in illis esset; is and has always been"
"εἵνεκεν","εινεκεν","prep",NA,"on account of; as far as regards, ἐμοῦ γ' ἕνεκα; in consequence of, εἵνεκα τέχνας; as far as; because; that"
"εἴπερ","ειπερ","conj",NA,"if really, if indeed; if as is the fact, since; if you must"
"εἰρηνεύω","ειρηνευω","verb","―, ―, ―, ―, ―","bring to peace, reconcile; keep peace, live peaceably"
"εἰρήνη","ειρηνη","noun","εἰρήνης","peace; the goddess of peace; three; greet"
"εἰρηνικός","ειρηνικοσ","adj","εἰρηνική, ―","of; peaceable"
"εἰρηνοποιέω","ειρηνοποιεω","verb","―, ―, ―, ―, ―","to make peace"
"εἰρηνοποιός","ειρηνοποιοσ","adj","―, ―","peace-maker"
"εἷς","εισ","adj","μία, ἕν","sem; one, one; single man; one; singly; above all; first; possessing unity; many; unity"
"εἰς","εισ","prep",NA,"into; rest in; to; for; up to, until; as far as; to the number of; by; towards, in regard to; in regard to"
"εἰσάγω","εισαγω","verb","―, ―, ―, ―, ―","lead in; to lead; bring in; introduce; introduce new; bring in, bring forward; bring; to bring; bring forward; pay in; enter, register; introduce to; enter"
"εἰσακούω","εισακουω","verb","εἰσακούσω, εἰσακουσθήσομαι, ―, ―, εἰσακουσθήσομαι","hearken; hear; perceive, feel effect of"
"εἰσδέχομαι","εισδεχομαι","verb","εἰσδέξομαι, ―, ―, ―, ―","take into, admit; take in"
"εἴσειμι","εισειμι","verb","―, ―, ―, ―, ―","enter, go into, οὐδ' Ἀχιλῆοςὀφθαλμου\ςεἴσειμι; come upon; come into the assembly; come before the court; enter upon; enter on; come into one's mind; began to think; what enters into one, food"
"εἰσέρχομαι","εισερχομαι","verb","εἰσελεύσομαι, ―, εἰσελήλυθα, ―, ―","go in; come upon; come into court, εἰςὑμᾶς; enter; come before the court; to be brought in, ποῖ οὖν δεῖ ταύτην εἰσελθεῖν τὴν δίκην; enter on an office; consult; enters into; come into one's mind; it came into"
"εἰσκαλέω","εισκαλεω","verb","―, ―, ―, ―, ―","call in"
"εἴσοδος","εισοδοσ","noun","εἰσόδου","entrance; place of entrance, entry; entering, entrance; entrance into the lists; right; visit; study, investigation; that which comes in, revenue"
"εἰσπηδάω","εισπηδαω","verb","―, ―, ―, ―, ―","leap in; burst in, εἰσπηδήσαςπρόςμε νύκτωρ Μειδίας"
"εἰσπορεύω","εισπορευω","verb","―, ―, ―, ―, ―","lead in"
"εἰστρέχω","ειστρεχω","verb","―, ―, ―, ―, ―","run in"
"εἰσφέρω","εισφερω","verb","―, ―, ―, ―, ―","carry in; bring in, contribute, τῖμον; bring in; introduce; propose, nominate; carry with one, sweep along; bring in for oneself; bring in with one, introduce; contribute; eat; draw breath; to be brought in, introduced; rush in"
"εἶτα","ειτα","adv",NA,"then, next; and then, and yet; and so, therefore, accordingly ;"
"εἴτε","ειτε","conj",NA,"sive..sive.., either..or.., whether..or.."
"ἐκ","εκ","prep",NA,"from out of; out of, forth from; from; outside of, beyond; on, in, δαῖέ οἱ ἐκ κόρυθος.πῦρ; over..; since; at, in; out of; by the hand of; by; in accordance with, ἐκ τῶν; in; by the space of; removal; completion; therefrom"
"ἕκαστος","εκαστοσ","adj","ἑκάστη, ἕκαστον","each; every single; all and each severally; singly, by itself; each by himself"
"ἑκάστοτε","εκαστοτε","adv",NA,"each time, on each occasion"
"ἑκατόν","εκατον","num",NA,"a hundred"
"ἑκατονταετής","εκατονταετησ","adj","―, ―","of a hundred years"
"ἑκατονταπλασίων","εκατονταπλασιων","adj","―, ἑκατονταπλασίον","a hundred times as much"
"ἑκατοντάρχης","εκατονταρχησ","noun","ἑκατοντάρχου","leader of a hundred"
"ἑκατόνταρχος","εκατονταρχοσ","noun","―","leader of a hundred"
"ἐκβαίνω","εκβαινω","verb","―, ―, ―, ―, ―","step out of; go out of, depart from; leave; outstep, overstep; to be produced; project; come out, turn out; to be fulfilled; go out of due bounds; project, extend beyond; lapse; cause to go out"
"ἐκβάλλω","εκβαλλω","verb","ἐκβαλῶ, ἐκβληθήσομαι, ἐκβέβληκα, ―, ἐκβληθήσομαι","throw; throw ashore; cast out of; expose; divorce; throw decisively; dig; get rid of; expel; publish; strike out of; strike open, break in, ἐ. θύρετρα, πύλας θύρας; let fall, drop; throw away, cast aside, reject, εὐμένειαν, χάριν; lose; produce; put forth; put out; upset, undo the effect of; start counting; go out, depart"
"ἔκβασις","εκβασισ","noun","ἐκβάσεως","way out of; going out of; end; deviation, declension, departure; issue, event; emanation, procession; produce; digression"
"ἐκβολή","εκβολη","noun","ἐκβολῆς","throwing out, ψήφων ἐ; jettisoning; expulsion, banishment; divorce, repudiation; letting fall; expulsion; the time when; shoot; putting out; putting forth, exposing; debouchure, outlet; by-way; close; projection, στόματος; that which is cast out, δικέλληςἐ; cargo thrown overboard, jetsam, πλὴν ἐκβολῆς ἡ\ν ἂν..ἐκβάλωνται; interval of five διέσεις"
"ἔκγονος","εκγονοσ","adj","―, ἔκγονον","born of, sprung from; grandchild; offspring"
"ἐκδαπανάω","εκδαπαναω","verb","―, ἐκδαπανηθήσομαι, ―, ―, ἐκδαπανηθήσομαι","exhaust"
"ἐκδέχομαι","εκδεχομαι","verb","―, ―, ―, ―, ―","take; succeeded; take up the argument; wait for, expect; entertain; to be surety for; await, του\ςΣκύθας; come next, ἀπὸ ταύτης; support"
"ἔκδηλος","εκδηλοσ","adj","ἔκδηλος, ―","conspicuous; quite plain; openly, manifestly, plainly"
"ἐκδημέω","εκδημεω","verb","―, ―, ―, ―, ―","to be abroad, to be on one's travels; travel through"
"ἐκδίδωμι","εκδιδωμι","verb","ἐκδώσω, ―, ―, ―, ―","give up; give out of one's house; give; farm out, let for hire; give in charge; bring out; lend out money; pay out; put out, publish; bring to the birth; return, yield, produce; hand over, deliver; betray; empty themselves, disembogue, ἐςθάλασσαν, ἐςτὴν Σύρτιν, ἐςτὸν Μαίανδρον; run to; emerge"
"ἐκδιηγέομαι","εκδιηγεομαι","verb","―, ―, ―, ―, ―","tell in detail"
"ἐκδικέω","εκδικεω","verb","ἐκδικήσω, ―, ―, ―, ―","avenge, punish; decide; avenge; act as; claim; make retribution for"
"ἐκδίκησις","εκδικησισ","noun","ἐκδικήσεως","avenging, ἐ. ποιεῖσθαι"
"ἔκδικος","εκδικοσ","adj","―, ―","lawless, unjust; maintaining the right, avenging; avenger; public advocate; legal representative"
"ἐκδιώκω","εκδιωκω","verb","―, ―, ―, ―, ―","chase away, banish"
"ἔκδοτος","εκδοτοσ","adj","―, ―","given up, delivered; given in marriage"
"ἐκδοχή","εκδοχη","noun","―","expectation"
"ἐκδύω","εκδυω","verb","―, ―, ―, ―, ―","take off, strip off; to be stripped of; strip oneself of; put off; go; escape, shun, νῶϊν δ' ἐκδῦμεν ὄλεθρον; escape"
"ἐκεῖ","εκει","adv",NA,"there, in that place; in another world; in the intelligible world; thither; then"
"ἐκεῖ","εκει","adverb with kai",NA,"there, in that place; in another world; in the intelligible world; thither; then"
"ἐκεῖθεν","εκειθεν","adv",NA,"from that place, thence; on yon side of; thence, from that fact; thenceforward"
"ἐκεῖνος","εκεινοσ","demonstrative pronoun",NA,"the person there, that person; the ideal world; so-and-so; there; in that case; at that place, in that neighbourhood; in that manner; that time"
"ἐκεῖνος","εκεινοσ","demonstrative pronoun with kai",NA,"the person there, that person; the ideal world; so-and-so; there; in that case; at that place, in that neighbourhood; in that manner; that time"
"ἐκεῖσε","εκεισε","adv",NA,"thither, to that place; to the other world"
"ἐκζητέω","εκζητεω","verb","―, ἐκζητηθήσομαι, ―, ―, ἐκζητηθήσομαι","seek out; demand an account of"
"ἐκζήτησις","εκζητησισ","noun","ἐκζητήσεως","research"
"ἐκθαμβέω","εκθαμβεω","verb","―, ἐκθαμβηθήσομαι, ―, ―, ἐκθαμβηθήσομαι","to be amazed; amaze, astonish"
"ἔκθαμβος","εκθαμβοσ","adj","―, ―","amazed, astounded; terrible"
"ἐκθαυμάζω","εκθαυμαζω","verb","―, ―, ―, ―, ―","wonder, marvel; marvel at; honour, admire, worship; say with astonishment; wonder at, marvel at; to wonder at; wonder at the fact that . . ; marvelled at; wonder at"
"ἔκθετος","εκθετοσ","adj","―, ἔκθετον","sent out of the house, sent away; projecting, salient"
"ἐκκαθαίρω","εκκαθαιρω","verb","―, ―, ―, ―, ―","cleanse out; clear out; clear away"
"ἐκκαίω","εκκαιω","verb","―, ἐκκαυθήσομαι, ―, ―, ἐκκαυθήσομαι","burn out; light up, kindle; stimulate; scorch"
"ἐκκεντέω","εκκεντεω","verb","―, ―, ―, ―, ―","prick out, put out; pierce, stab; massacre; stand out, project"
"ἐκκλάω","εκκλαω","verb","―, ἐκκλασθήσομαι, ―, ―, ἐκκλασθήσομαι","break off; grow weak, to be enfeebled"
