book,chapter,verse,position,new_nominal_type,new_case_type
1Thess,2,10,3,"pronoun, noun",
1Thess,2,12,11,adjective,
1Thess,2,15,7,"participle, adjective",
1Thess,2,15,10,"noun, pronoun",
1Thess,3,6,14,"noun, clause",
1Thess,3,6,28,,nominative
1Thess,3,11,8,noun,
1Thess,5,10,5,participle,
2Thess,2,10,15,,genitive
2Thess,2,17,10,noun,
2Thess,3,4,9,,accusative
1Tim,1,7,6,"relative clause, clause",accusative
1Tim,1,13,5,"adjective, noun",
1Tim,2,2,3,"noun, participle",
1Tim,4,3,15,"adjective, participle",
1Tim,4,8,21,"headless, participle",
1Tim,4,16,3,"pronoun, noun",
1Tim,4,16,11,"pronoun, participle",
1Tim,5,5,5,"adjective, participle",
1Tim,5,8,6,"adjective, noun",
1Tim,5,12,3,,nominative
1Tim,6,16,15,relative clause,
2Tim,1,4,8,,nominative
2Tim,1,8,9,"noun, pronoun",
2Tim,1,12,13,,accusative
2Tim,1,18,5,,accusative
2Tim,1,18,17,,accusative
2Tim,2,7,3,,accusative
2Tim,2,20,12,adjective,nominative
2Tim,3,9,16,headless,
2Tim,4,1,12,"participle, adjective",
2Tim,4,1,14,noun,accusative
2Tim,4,3,10,relative clause,
2Tim,4,15,4,relative clause,
2Tim,4,18,17,relative clause,
Titus,1,9,8,,accusative
Titus,1,11,11,,accusative
Titus,1,13,9,relative clause,
Titus,1,15,8,"participle, adjective",
Titus,1,15,15,noun,
Titus,2,1,5,,accusative
Titus,2,12,3,,nominative
Phlm,1,21,12,,accusative
Heb,1,3,2,relative clause,
Heb,2,3,10,,genitive
Heb,2,7,3,adjective,accusative
Heb,2,9,19,participle,accusative
Heb,2,10,8,relative clause,
Heb,2,18,4,,dative
Heb,3,3,12,,accusative
Heb,3,13,11,,genitive
Heb,4,13,16,relative clause,
Heb,5,2,7,,nominative
Heb,5,4,8,"pronoun, participle",
Heb,5,4,13,participle,
Heb,5,7,27,relative clause,
Heb,5,8,7,,genitive
Heb,6,8,13,relative clause,
Heb,6,9,8,"adjective, participle",
Heb,6,18,8,relative clause,
Heb,6,19,2,relative clause,
Heb,7,20,5,relative clause,accusative
Heb,7,26,14,"adjective, participle",
Heb,8,2,4,"adjective, noun",
Heb,9,2,6,relative clause,
Heb,9,4,12,relative clause,
Heb,9,7,18,"pronoun, headless",
Heb,9,9,2,relative clause,
Heb,9,16,3,relative clause,
Heb,9,27,4,,accusative
Heb,10,6,2,"noun, headless",
Heb,10,8,5,"noun, headless",
Heb,10,13,4,,nominative
Heb,10,18,3,relative clause,
Heb,10,20,6,"adjective, participle",
Heb,10,30,9,clause,
Heb,10,34,20,"adjective, participle",
Heb,11,10,10,relative clause,
Heb,11,12,16,noun,nominative
Heb,12,8,12,"adjective, noun",
Heb,12,5,7,relative clause,
Heb,12,6,3,,accusative
Heb,12,16,4,"noun, adjective",
Heb,13,7,18,relative clause,
Heb,13,21,22,relative clause,
Heb,13,24,6,"participle, adjective",
Jas,2,5,16,"adjective, noun",
Jas,2,15,7,"adjective, participle",
Jas,3,7,6,"noun, adjective",
Jas,3,15,8,"participle, adjective",
Jas,5,7,21,,nominative
Jas,5,12,22,noun,
Jas,5,12,26,noun,
1Pet,1,8,15,"adjective, participle",
1Pet,1,11,7,,accusative
1Pet,1,19,1,"adjective, noun",
1Pet,1,21,16,participle,
1Pet,2,8,1,"headless, noun",
1Pet,2,11,3,adjective,accusative
1Pet,2,12,12,,dative
1Pet,3,16,1,"adjective, headless, participle",
1Pet,3,16,12,,dative
1Pet,3,20,3,participle,
1Pet,4,5,5,adjective,
1Pet,4,5,9,"participle, adjective",
1Pet,5,9,2,relative clause,
1Pet,5,12,23,relative clause,
1Pet,5,13,7,"adjective, noun",
2Pet,1,12,8,participle,
2Pet,1,13,6,,accusative
2Pet,2,12,3,noun,
2Pet,2,12,14,,dative
2Pet,2,22,6,headless,
2Pet,3,4,15,,genitive
2Pet,3,10,17,relative clause,
1John,2,9,17,,genitive
1John,2,15,5,"noun, headless",
1John,3,1,8,,accusative
1John,3,22,3,,accusative
1John,4,3,21,relative clause,
1John,5,15,8,,accusative
2John,1,1,14,relative clause,
2John,1,4,12,participle,accusative
2John,1,5,12,relative clause,
2John,1,7,20,"adjective, noun",
2John,1,8,7,,accusative
3John,1,3,11,,genitive
3John,1,5,5,,accusative
3John,1,6,12,adjective,
Jude,1,10,6,,accusative
Jude,1,11,1,noun,
Rev,1,1,14,,accusative
Rev,1,3,11,participle,
Rev,1,4,16,"participle, clause",
Rev,1,4,28,relative clause,
Rev,1,7,11,"noun, relative clause",
Rev,1,11,3,,accusative
Rev,1,19,5,,accusative
Rev,2,4,5,,accusative
Rev,2,7,15,,accusative
Rev,2,9,20,"participle, clause",
Rev,2,10,4,,accusative
Rev,2,13,3,,accusative
Rev,2,13,4,relative clause,
Rev,2,17,24,"noun, participle",
Rev,2,18,23,"noun, adjective",
Rev,2,20,5,,accusative
Rev,2,25,3,,accusative
Rev,2,25,8,,genitive
Rev,3,7,25,participle,
Rev,3,11,5,,accusative
Rev,3,14,12,noun,
Rev,3,19,3,,accusative
Rev,3,21,5,,accusative
Rev,3,21,12,,accusative
Rev,4,1,30,,accusative
Rev,4,8,36,"clause, participle",
Rev,5,8,9,"noun, adjective",
Rev,5,11,11,"noun, adjective",
Rev,5,13,8,relative clause,
Rev,5,13,20,"noun, headless",
Rev,6,4,19,"infinitive, clause",nominative
Rev,6,10,7,,genitive
Rev,6,15,6,"noun, adjective",
Rev,6,15,21,"noun, adjective",
Rev,7,11,9,"noun, adjective",
Rev,8,13,13,noun,
Rev,9,4,11,"noun, adjective",
Rev,9,12,2,noun,
Rev,9,12,10,noun,
Rev,10,4,18,,accusative
Rev,10,6,18,noun,accusative
Rev,11,1,15,"noun, participle",
Rev,11,6,35,relative clause,
Rev,11,14,2,noun,
Rev,11,14,8,noun,
Rev,11,17,11,"participle, clause",
Rev,12,9,14,"adjective, noun",
Rev,12,12,6,"noun, participle",
Rev,12,12,11,noun,
Rev,13,1,14,"participle, headless",
Rev,13,5,7,"adjective, noun",
Rev,13,12,15,"noun, participle",
Rev,14,3,14,"noun, adjective",
Rev,14,4,7,,nominative
Rev,14,11,26,"participle, clause",
Rev,14,13,17,,genitive
Rev,15,1,18,participle,
Rev,15,2,8,"noun, participle",
Rev,16,5,12,"participle, clause",
Rev,16,6,4,"adjective, noun",
Rev,16,18,18,,genitive
Rev,17,4,26,"noun, adjective","genitive, accusative"
Rev,17,16,18,"participle, adjective",
Rev,17,17,13,,accusative
Rev,18,2,31,"adjective, participle",
Rev,18,10,2,,genitive
Rev,18,15,9,,genitive
Rev,18,17,11,"noun, participle",
Rev,18,17,25,,genitive
Rev,18,20,8,"noun, adjective",
Rev,18,24,6,"noun, adjective",
Rev,19,4,8,"adjective, noun",
Rev,19,5,16,"noun, participle",
Rev,19,6,7,noun,accusative
Rev,19,10,17,"pronoun, noun",
Rev,19,18,14,"noun, participle",
Rev,19,18,24,"adjective, noun",
Rev,19,18,26,"noun, adjective",genitive
Rev,20,2,12,"adjective, noun",
Rev,20,4,12,"noun, clause",accusative
Rev,20,8,26,relative clause,
Rev,20,10,15,relative clause,
Rev,20,11,6,"noun, participle",
Rev,21,27,9,"adjective, participle",
Rev,22,5,12,,"genitive, nominative"
Rev,22,6,28,,accusative
Rev,22,9,9,"pronoun, noun, participle",
Rev,22,15,4,"noun, participle",
